,car_model,year_of_manufacture,price,fuel,Unnamed: 0.1,Unnamed: 0
177,fortuner,2010,13805.97,Diesel,177.0,
178,corolla altis,2011,6492.54,Petrol,178.0,
179,corolla altis,2016,21268.66,Petrol,179.0,
180,alto k10,2016,4253.73,Petrol,,
181,ignis,2017,7313.43,Petrol,,
182,sx4,2011,6567.16,Petrol,,
183,alto k10,2014,3731.34,Petrol,,
184,wagon r,2013,4328.36,Petrol,,
185,swift,2011,4477.61,Petrol,,
186,swift,2013,6194.03,Petrol,,
187,swift,2017,8955.22,Petrol,,
188,alto k10,2010,2910.45,Petrol,,
189,ciaz,2015,11119.4,Diesel,,
190,ritz,2014,5000.0,Petrol,,
191,sx4,2013,7089.55,Diesel,,
192,ciaz,2017,10820.9,Petrol,,
193,wagon r,2011,4253.73,Petrol,,
194,swift,2014,6865.67,Diesel,,
195,vitara brezza,2018,13805.97,Diesel,,
196,ciaz,2015,10074.63,Petrol,,
197,s cross,2015,9701.49,Diesel,,
198,ciaz,2016,13059.7,Diesel,,
199,ciaz,2015,11119.4,Diesel,,
200,alto 800,2017,4253.73,Petrol,,
201,ciaz,2015,10223.88,Diesel,,
202,ciaz,2015,11194.03,Petrol,,
203,ertiga,2015,9104.48,Petrol,,
204,dzire,2009,3358.21,Petrol,,
205,ertiga,2016,11567.16,Diesel,,
206,ertiga,2015,10820.9,Diesel,,
207,ertiga,2016,11567.16,Diesel,,
208,wagon r,2015,4850.75,CNG,,
209,sx4,2010,3955.22,Petrol,,
210,fortuner,2012,22238.81,Diesel,,
211,fortuner,2015,34328.36,Diesel,,
212,innova,2017,26865.67,Diesel,,
213,fortuner,2013,23880.6,Diesel,,
214,innova,2005,4104.48,Petrol,,
215,corolla altis,2009,5373.13,Petrol,,
216,etios cross,2015,6716.42,Petrol,,
217,corolla altis,2010,7089.55,Petrol,,
218,etios g,2014,6119.4,Petrol,,
219,fortuner,2014,29835.82,Diesel,,
220,baleno,2016,8731.34,Petrol,,
221,alto k10,2014,3805.97,Petrol,,
222,sx4,2008,2910.45,Petrol,,
223,dzire,2014,8208.96,Diesel,,
224,omni,2012,1865.67,Petrol,,
225,ciaz,2014,11194.03,Petrol,,
226,ritz,2013,3955.22,Petrol,,
227,wagon r,2006,1567.16,Petrol,,
228,ertiga,2015,8656.72,Petrol,,
229,ciaz,2017,11567.16,Petrol,,
230,ritz,2012,4626.87,Diesel,,
231,ritz,2011,3507.46,Petrol,,
232,swift,2014,7388.06,Diesel,,
233,ertiga,2014,8955.22,Diesel,,
234,dzire,2014,8208.96,Diesel,,
235,sx4,2011,4402.99,CNG,,
236,dzire,2015,6940.3,Petrol,,
237,800,2003,522.39,Petrol,,
238,alto k10,2016,4477.61,Petrol,,
239,sx4,2003,3358.21,Petrol,,
240,etios liva,2014,5895.52,Diesel,,
241,corolla altis,2011,6716.42,Diesel,,
242,corolla altis,2013,11119.4,Petrol,,
243,etios liva,2011,3955.22,Petrol,,
244,etios cross,2014,7313.43,Diesel,,
245,etios g,2015,5895.52,Petrol,,
246,corolla altis,2013,8208.96,Petrol,,
247,corolla,2004,2238.81,Petrol,,
248,corolla altis,2010,7835.82,Petrol,,
249,fortuner,2012,21641.79,Diesel,,
250,corolla altis,2016,21985.07,Diesel,,
251,etios gd,2015,7089.55,Diesel,,
252,innova,2017,34328.36,Diesel,,
253,innova,2015,18656.72,Diesel,,
254,innova,2005,5208.96,Diesel,,
255,camry,2006,3731.34,Petrol,,
256,land cruiser,2010,52238.81,Diesel,,
257,corolla altis,2012,8805.97,Petrol,,
258,etios liva,2013,5149.25,Petrol,,
259,etios g,2014,7089.55,Petrol,,
260,corolla altis,2013,10373.13,Petrol,,
261,etios cross,2015,6716.42,Petrol,,
262,fortuner,2014,27985.07,Diesel,,
263,fortuner,2015,35074.63,Diesel,,
264,fortuner,2017,49253.73,Diesel,,
265,etios liva,2014,7089.55,Diesel,,
266,innova,2017,29477.61,Petrol,,
267,fortuner,2010,13805.97,Diesel,,
268,corolla altis,2011,6492.54,Petrol,,
269,corolla altis,2016,21268.66,Petrol,,
